Município;UF;Pop. urb.;Reg.;Cod. nacional;ALGAR CELULAR S/A: Atende;ALGAR CELULAR S/A: Nº ERBs;CLARO S.A.: Atende;CLARO S.A.: Nº ERBs;NEXTEL TELECOMUNICACOES LTDA: Atende;NEXTEL TELECOMUNICACOES LTDA: Nº ERBs;OI MÓVEL S.A.: Atende;OI MÓVEL S.A.: Nº ERBs;SERCOMTEL CELULAR S.A.: Atende;SERCOMTEL CELULAR S.A.: Nº ERBs;TELEFÔNICA BRASIL S.A.: Atende;TELEFÔNICA BRASIL S.A.: Nº ERBs;TIM CELULAR S.A.: Atende;TIM CELULAR S.A.: Nº ERBs;TNL PCS S.A.: Atende;TNL PCS S.A.:Nº ERBs
 Acrelândia;AC;13353;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;2;Sim;1;Não;0
 Assis Brasil;AC;6480;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Brasiléia;AC;22899;II;68;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;2;Sim;1;Não;0
 Bujari;AC;9003;II;68;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Capixaba;AC;9836;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Cruzeiro do Sul;AC;80377;II;68;Não;0;Sim;3;Não;0;Sim;2;Não;0;Sim;8;Sim;2;Não;0
 Epitaciolândia;AC;16099;II;68;Não;0;Sim;1;Não;0;Sim;0;Não;0;Sim;1;Sim;0;Não;0
 Feijó;AC;32411;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Jordão;AC;7147;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Mâncio Lima;AC;16410;II;68;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Manoel Urbano;AC;8386;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Marechal Thaumaturgo;AC;15857;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Plácido de Castro;AC;17795;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Não;0;Não;0
 Porto Acre;AC;16029;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;3;Não;0;Não;0
 Porto Walter;AC;10143;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Rio Branco;AC;357194;II;68;Não;0;Sim;30;Sim;7;Sim;34;Não;0;Sim;31;Sim;35;Não;0
 Rodrigues Alves;AC;15968;II;68;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Santa Rosa do Purus;AC;5374;II;68;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Sena Madureira;AC;40311;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;3;Sim;1;Não;0
 Senador Guiomard;AC;20799;II;68;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Tarauacá;AC;37571;II;68;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
